Date,Product Name,Region,State,Quantity Sold (Units),Price (INR),Temperature (øC),Festival Indicator,Festival Name,Holiday Indicator,Day of Week,Month,Year
2021-01-01,Cheese Slices (200g),West,Maharashtra,203,107.41,22.3,No,,No,Friday,January,2021
2021-01-01,Butter (500g),South,Tamil Nadu,106,243.97,25.7,No,,No,Friday,January,2021
2021-01-01,Buttermilk (1L),Central,Madhya Pradesh,161,35.02,17.6,No,,No,Friday,January,2021
2021-01-01,Lassi (200ml),South,Tamil Nadu,160,24.99,25.7,No,,No,Friday,January,2021
2021-01-01,Butter (500g),West,Maharashtra,208,253.2,22.3,No,,No,Friday,January,2021
2021-01-01,Ghee (1L),South,Tamil Nadu,235,518.13,25.7,No,,No,Friday,January,2021
2021-01-01,Toned Milk (500ml),North,Delhi,1218,26.44,15,No,,No,Friday,January,2021
2021-01-01,Toned Milk (500ml),East,Bihar,1189,26.72,19.5,No,,No,Friday,January,2021
2021-01-01,Buttermilk (1L),North,Delhi,246,35.6,15,No,,No,Friday,January,2021
2021-01-01,Butter (500g),North,Delhi,188,245.69,15,No,,No,Friday,January,2021
2021-01-01,Ice Cream (500ml),South,Tamil Nadu,148,180.22,25.7,No,,No,Friday,January,2021
2021-01-01,Ghee (1L),East,Bihar,145,535.19,19.5,No,,No,Friday,January,2021
2021-01-01,Cheese Slices (200g),Central,Madhya Pradesh,101,109.52,17.6,No,,No,Friday,January,2021
2021-01-01,Paneer (200g),East,Bihar,308,89.23,19.5,No,,No,Friday,January,2021
2021-01-01,Buttermilk (1L),East,Bihar,213,34.19,19.5,No,,No,Friday,January,2021
2021-01-01,Ghee (1L),North,Delhi,242,510.12,15,No,,No,Friday,January,2021
2021-01-01,Skimmed Milk (1L),South,Tamil Nadu,424,53.91,25.7,No,,No,Friday,January,2021
2021-01-01,Paneer (200g),West,Maharashtra,409,90.74,22.3,No,,No,Friday,January,2021
2021-01-01,Lassi (200ml),East,Bihar,221,24.55,19.5,No,,No,Friday,January,2021
2021-01-01,Dahi / Curd (500g),North,Delhi,537,46.27,15,No,,No,Friday,January,2021
2021-01-01,Ice Cream (500ml),Central,Madhya Pradesh,320,183.9,17.6,No,,No,Friday,January,2021
2021-01-01,Paneer (200g),South,Tamil Nadu,277,92.42,25.7,No,,No,Friday,January,2021
2021-01-01,Full Cream Milk (1L),East,Bihar,712,58.91,19.5,No,,No,Friday,January,2021
2021-01-01,Toned Milk (500ml),South,Tamil Nadu,714,26.27,25.7,No,,No,Friday,January,2021
2021-01-01,Skimmed Milk (1L),West,Maharashtra,329,54.42,22.3,No,,No,Friday,January,2021
2021-01-01,Dahi / Curd (500g),West,Maharashtra,839,44.92,22.3,No,,No,Friday,January,2021
2021-01-01,Buttermilk (1L),West,Maharashtra,222,35.02,22.3,No,,No,Friday,January,2021
2021-01-01,Skimmed Milk (1L),Central,Madhya Pradesh,678,53.88,17.6,No,,No,Friday,January,2021
2021-01-01,Flavoured Milk (200ml),South,Tamil Nadu,738,30.74,25.7,No,,No,Friday,January,2021
2021-01-01,Butter (500g),Central,Madhya Pradesh,310,245.3,17.6,No,,No,Friday,January,2021
2021-01-01,Ghee (1L),West,Maharashtra,308,521.91,22.3,No,,No,Friday,January,2021
2021-01-01,Full Cream Milk (1L),North,Delhi,910,60.36,15,No,,No,Friday,January,2021
2021-01-01,Paneer (200g),North,Delhi,334,91.12,15,No,,No,Friday,January,2021
2021-01-01,Ghee (1L),Central,Madhya Pradesh,253,521.23,17.6,No,,No,Friday,January,2021
2021-01-01,Toned Milk (500ml),Central,Madhya Pradesh,826,26.31,17.6,No,,No,Friday,January,2021
2021-01-01,Skimmed Milk (1L),East,Bihar,688,54.25,19.5,No,,No,Friday,January,2021
2021-01-01,Cheese Slices (200g),East,Bihar,164,111.51,19.5,No,,No,Friday,January,2021
2021-01-01,Lassi (200ml),North,Delhi,142,25.04,15,No,,No,Friday,January,2021
2021-01-01,Ice Cream (500ml),West,Maharashtra,109,181.47,22.3,No,,No,Friday,January,2021
2021-01-01,Buttermilk (1L),South,Tamil Nadu,261,34.34,25.7,No,,No,Friday,January,2021
2021-01-01,Butter (500g),East,Bihar,281,254.53,19.5,No,,No,Friday,January,2021
2021-01-01,Ice Cream (500ml),East,Bihar,350,175.4,19.5,No,,No,Friday,January,2021
2021-01-01,Flavoured Milk (200ml),West,Maharashtra,775,29.87,22.3,No,,No,Friday,January,2021
2021-01-01,Dahi / Curd (500g),Central,Madhya Pradesh,1074,46,17.6,No,,No,Friday,January,2021
2021-01-01,Flavoured Milk (200ml),North,Delhi,840,29.62,15,No,,No,Friday,January,2021
2021-01-01,Flavoured Milk (200ml),East,Bihar,390,30.57,19.5,No,,No,Friday,January,2021
2021-01-01,Lassi (200ml),West,Maharashtra,144,24.99,22.3,No,,No,Friday,January,2021
2021-01-02,Paneer (200g),West,Maharashtra,422,88.58,22.6,No,,No,Saturday,January,2021
2021-01-02,Ice Cream (500ml),North,Haryana,251,177.19,14.7,No,,No,Saturday,January,2021
2021-01-02,Buttermilk (1L),East,Odisha,406,33.97,19.5,No,,No,Saturday,January,2021
2021-01-02,Ghee (1L),East,Odisha,142,515.3,19.5,No,,No,Saturday,January,2021
2021-01-02,Ice Cream (500ml),West,Maharashtra,381,181.42,22.6,No,,No,Saturday,January,2021
2021-01-02,Full Cream Milk (1L),West,Maharashtra,1188,58.78,22.6,No,,No,Saturday,January,2021
2021-01-02,Dahi / Curd (500g),North,Haryana,832,46.27,14.7,No,,No,Saturday,January,2021
