Product_Name,Region,Year_Month,Quantity_Sold,Avg_Price,Avg_Temperature,Festival_Names,Festival_Day_Count,Num_Days,Festival_Indicator,Holiday_Indicator
Butter (500g),Central,2021-01,6706,247.61,17.6,"Makar Sankranti, Republic Day",2,25,Yes,Yes
Butter (500g),Central,2021-02,6203,251.42,20.8,No_Festival,0,21,No,No
Butter (500g),Central,2021-03,5626,248.59,27.2,No_Festival,0,23,No,No
Butter (500g),Central,2021-04,5180,249.63,33.4,Baisakhi,1,20,Yes,Yes
Butter (500g),Central,2021-05,5776,250.91,37.8,No_Festival,0,23,No,No
Butter (500g),Central,2021-06,5646,248.9,36.8,No_Festival,0,23,No,No
Butter (500g),Central,2021-07,6753,250.28,30.8,No_Festival,0,23,No,Yes
Butter (500g),Central,2021-08,7330,249.9,29.8,Independence Day,1,26,Yes,Yes
Butter (500g),Central,2021-09,6131,250.61,29.4,No_Festival,0,23,No,No
Butter (500g),Central,2021-10,4360,248.81,27.9,No_Festival,0,19,No,No
Butter (500g),Central,2021-11,6780,251.43,22.6,"Diwali, Guru Nanak Jayanti",2,24,Yes,Yes
Butter (500g),Central,2021-12,6058,249.62,18.1,Christmas,1,23,Yes,Yes
Butter (500g),Central,2022-01,5836,260.48,17.6,"Makar Sankranti, Republic Day",2,21,Yes,Yes
Butter (500g),Central,2022-02,5549,261.56,21.4,No_Festival,0,23,No,No
Butter (500g),Central,2022-03,6630,263.75,26.8,Holi,1,26,Yes,Yes
Butter (500g),Central,2022-04,5291,261.77,33.2,Baisakhi,1,22,Yes,Yes
Butter (500g),Central,2022-05,7084,262.78,38.0,No_Festival,0,25,No,Yes
Butter (500g),Central,2022-06,6528,262.13,36.1,No_Festival,0,26,No,No
Butter (500g),Central,2022-07,6430,262.01,31.1,No_Festival,0,24,No,Yes
Butter (500g),Central,2022-08,7164,262.27,30.3,"Raksha Bandhan, Independence Day",2,23,Yes,Yes
Butter (500g),Central,2022-09,5760,261.82,30.8,No_Festival,0,21,No,No
Butter (500g),Central,2022-10,6834,262.85,28.2,"Gandhi Jayanti, Diwali",2,26,Yes,Yes
Butter (500g),Central,2022-11,5606,263.96,22.5,Guru Nanak Jayanti,1,22,Yes,Yes
Butter (500g),Central,2022-12,6340,264.27,17.9,Christmas,1,25,Yes,Yes
Butter (500g),Central,2023-01,6292,276.44,17.7,Republic Day,1,25,Yes,Yes
Butter (500g),Central,2023-02,4377,275.54,21.1,No_Festival,0,16,No,No
Butter (500g),Central,2023-03,6014,273.02,26.5,Holi,1,23,Yes,Yes
Butter (500g),Central,2023-04,5536,275.56,33.1,Baisakhi,1,20,Yes,Yes
Butter (500g),Central,2023-05,6231,275.76,38.6,No_Festival,0,23,No,No
Butter (500g),Central,2023-06,6082,275.4,36.0,No_Festival,0,22,No,Yes
Butter (500g),Central,2023-07,6104,277.84,31.6,No_Festival,0,25,No,No
Butter (500g),Central,2023-08,6643,274.34,29.8,"Independence Day, Raksha Bandhan",2,25,Yes,Yes
Butter (500g),Central,2023-09,5801,275.18,30.0,No_Festival,0,23,No,No
