Product_Name,Region,Week_Start,Quantity_Sold,Avg_Price,Avg_Temperature,Festival_Names,Num_Days,Festival_Indicator,Holiday_Indicator
Butter (500g),Central,2020-12-28,881,245.63,17.4,No_Festival,3,No,No
Butter (500g),Central,2021-01-04,2114,249.27,17.9,No_Festival,7,No,No
Butter (500g),Central,2021-01-11,1134,248.6,18.1,Makar Sankranti,4,Yes,Yes
Butter (500g),Central,2021-01-18,950,245.99,17.6,No_Festival,4,No,No
Butter (500g),Central,2021-01-25,1627,247.17,17.1,Republic Day,7,Yes,Yes
Butter (500g),Central,2021-02-01,1453,252.89,19.7,No_Festival,5,No,No
Butter (500g),Central,2021-02-08,1583,252.38,22.5,No_Festival,4,No,No
Butter (500g),Central,2021-02-15,1423,251.78,21.8,No_Festival,6,No,No
Butter (500g),Central,2021-02-22,1744,249.2,19.7,No_Festival,6,No,No
Butter (500g),Central,2021-03-01,1271,247.14,27.1,No_Festival,6,No,No
Butter (500g),Central,2021-03-08,1162,249.5,26.6,No_Festival,6,No,No
Butter (500g),Central,2021-03-15,1496,248.74,27.4,No_Festival,5,No,No
Butter (500g),Central,2021-03-22,985,249.77,27.2,No_Festival,3,No,No
Butter (500g),Central,2021-03-29,1586,248.1,30.3,No_Festival,6,No,No
Butter (500g),Central,2021-04-05,958,255.43,31.6,No_Festival,3,No,No
Butter (500g),Central,2021-04-12,1602,249.5,33.9,Baisakhi,7,Yes,Yes
Butter (500g),Central,2021-04-19,584,248.21,34.4,No_Festival,3,No,No
Butter (500g),Central,2021-04-26,1459,248.57,34.8,No_Festival,5,No,No
Butter (500g),Central,2021-05-03,1389,250.26,38.2,No_Festival,5,No,No
Butter (500g),Central,2021-05-10,1250,252.09,37.5,No_Festival,5,No,No
Butter (500g),Central,2021-05-17,1349,249.22,38.5,No_Festival,6,No,No
Butter (500g),Central,2021-05-24,1228,251.02,37.4,No_Festival,5,No,No
Butter (500g),Central,2021-05-31,1938,251.03,36.5,No_Festival,7,No,No
Butter (500g),Central,2021-06-07,1059,250.78,36.5,No_Festival,5,No,No
Butter (500g),Central,2021-06-14,1279,244.75,36.6,No_Festival,6,No,No
Butter (500g),Central,2021-06-21,1134,248.1,36.9,No_Festival,4,No,No
Butter (500g),Central,2021-06-28,499,254.98,36.8,No_Festival,2,No,No
Butter (500g),Central,2021-07-05,2007,249.68,30.4,No_Festival,7,No,No
